Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1218.0904541015625,37.22252655029297,35.65773391723633,37.50525665283203
No bias Dataset,1551.4105224609375,23.37481117248535,14.791969299316406,26.468585968017578
Training Dataset 0,0.0,0.0,0.0,0.0
Training Dataset 1,0.0,0.0,0.0,0.0
Training Dataset 2,0.0,0.0,0.0,0.0
Training Dataset 3,0.0,0.0,0.0,0.0
Training Dataset 4,409.630615234375,48.211692810058594,18.192489624023438,26.911481857299805
Training Dataset 5,1184.1116943359375,57.30410385131836,46.40605926513672,46.54636764526367
Training Dataset 6,0.0,0.0,0.0,0.0
Training Dataset 7,0.0,0.0,0.0,0.0
Training Dataset 8,0.0,0.0,0.0,0.0
Training Dataset 9,0.0,0.0,0.0,0.0
