Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,60.75468444824219,20.1802921295166,25.62218475341797,27.055025100708008
No bias Dataset,58.8074951171875,18.255945205688477,12.604947090148926,20.63561248779297
Training Dataset 0,145.9747772216797,17.072959899902344,16.671253204345703,14.975221633911133
Training Dataset 1,255.40773010253906,11.809025764465332,17.929672241210938,8.200060844421387
Training Dataset 2,164.78736877441406,10.606876373291016,12.056119918823242,16.660276412963867
Training Dataset 3,189.13308715820312,10.930591583251953,35.034706115722656,20.423383712768555
Training Dataset 4,138.54006958007812,15.766953468322754,11.420190811157227,11.45870304107666
Training Dataset 5,573.8953247070312,16.759828567504883,13.521615028381348,88.5159912109375
Training Dataset 6,33.277366638183594,12.778915405273438,16.94371223449707,14.177741050720215
Training Dataset 7,105.65521240234375,32.22187042236328,17.938823699951172,19.028152465820312
Training Dataset 8,63.666847229003906,5.371456146240234,6.076387405395508,12.721450805664062
Training Dataset 9,118.66830444335938,11.078666687011719,9.95034408569336,12.596024513244629
