Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,747.784631729126,28.578996658325195,28.223307609558105,31.311777114868164
No bias Dataset,913.1579246520996,21.446359634399414,16.188796758651733,24.675020217895508
Training Dataset 0,793.5034535725912,43.14722442626953,43.19794209798177,30.766249974568684
Training Dataset 1,572.9566599527994,44.51016012827555,24.290372212727863,22.95937379201253
Training Dataset 2,423.3187739054362,24.670225143432617,25.03677495320638,29.46862538655599
Training Dataset 3,572.7049433390299,22.04239018758138,34.19049580891927,40.10369682312012
Training Dataset 4,228.5266367594401,24.07235336303711,13.461861610412598,16.11612097422282
Training Dataset 5,695.8361612955729,27.490267117818195,22.57920265197754,48.486954053243004
Training Dataset 6,162.0155029296875,13.640419642130533,24.898263931274414,33.82734457651774
Training Dataset 7,643.638437906901,58.34839121500651,37.57375717163086,23.5926570892334
Training Dataset 8,302.4603322347005,14.358983675638834,16.315741856892902,31.458872477213543
Training Dataset 9,357.51224009195965,17.226428349812824,12.980674743652344,16.83018143971761
