Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,48.40156173706055,26.86223602294922,24.331947326660156,19.446292877197266
No bias Dataset,68.06271362304688,15.326314926147461,36.04329299926758,21.785051345825195
Training Dataset 0,183.436279296875,26.576431274414062,21.620180130004883,26.762941360473633
Training Dataset 1,237.83079528808594,19.561019897460938,11.528364181518555,8.895401000976562
Training Dataset 2,162.23167419433594,11.072892189025879,12.627102851867676,12.8283109664917
Training Dataset 3,311.0829162597656,8.68021297454834,14.61044692993164,27.10862159729004
Training Dataset 4,160.24070739746094,15.706357955932617,32.75498580932617,10.152609825134277
Training Dataset 5,591.909423828125,26.498117446899414,23.865934371948242,21.67213249206543
Training Dataset 6,32.30583190917969,16.914756774902344,12.153943061828613,11.683393478393555
Training Dataset 7,151.97061157226562,17.716691970825195,22.009571075439453,22.553409576416016
Training Dataset 8,42.075286865234375,10.807456970214844,7.725127696990967,8.576275825500488
Training Dataset 9,141.28475952148438,7.776459217071533,13.972381591796875,12.306697845458984
