,usr
Linear Regression,124.73307498374241
Decision Tree Regressor,24.20988407565589
Random Forest Regressor,15.08244832214765
XGBoost Regressor,13.105022297092296
Gradient Boosting Regressor,16.196923626792273
CatBoost Regressor,64.57930474893848
LightGBM,13.596280395206321
Neural Network,69.66158294677734
SiFer Margin,13.935514450073242
SiFer Cross Entrpy,16.200151443481445
Sifer Ordinal,30.41898536682129
