,price
Linear Regression,0.07614427954882125
Decision Tree Regressor,0.1677761367702958
Random Forest Regressor,0.08777712820836102
XGBoost Regressor,0.07004330061040617
Gradient Boosting Regressor,0.05720323853297496
CatBoost Regressor,0.1121587788234917
LightGBM,0.06521395390477432
Neural Network,0.05942143127322197
SiFer Margin,0.0770067498087883
SiFer Cross Entrpy,0.08272580802440643
Sifer Ordinal,0.06025533005595207
