Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,761.1730070114136,22.006672859191895,26.40480947494507,24.493162631988525
No bias Dataset,864.840892791748,55.12505388259888,59.250582218170166,17.787292957305908
Training Dataset 0,840.0690256754557,26.337034225463867,20.13216209411621,31.815457026163738
Training Dataset 1,544.7706527709961,21.87267812093099,17.24984359741211,43.86628659566244
Training Dataset 2,432.48822021484375,16.50139586130778,26.9592186609904,15.081908226013184
Training Dataset 3,584.6794357299805,19.392106374104817,22.65254275004069,19.243672688802082
Training Dataset 4,242.82296244303384,11.904642740885416,12.069390137990316,21.516222318013508
Training Dataset 5,765.2212422688802,21.667618115743,13.406893253326416,22.67492437362671
Training Dataset 6,168.24403508504233,11.429633458455404,16.130893389383953,22.364060084025066
Training Dataset 7,606.8519287109375,29.05896059672038,33.401576360066734,38.964316050211586
Training Dataset 8,314.07120513916016,17.388268152872723,27.68561299641927,32.876441955566406
Training Dataset 9,383.7352116902669,13.89471181233724,28.963361740112305,29.466840108235676
