Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1245.3236083984375,27.217124938964844,33.26573181152344,25.366289138793945
No bias Dataset,1451.0933837890625,81.088623046875,76.55632019042969,18.861467361450195
Training Dataset 0,0.0,0.0,0.0,0.0
Training Dataset 1,0.0,0.0,0.0,0.0
Training Dataset 2,0.0,0.0,0.0,0.0
Training Dataset 3,0.0,0.0,0.0,0.0
Training Dataset 4,489.0403747558594,16.81859588623047,19.036287307739258,37.07167434692383
Training Dataset 5,1330.4337158203125,20.34035873413086,18.011503219604492,49.87584686279297
Training Dataset 6,0.0,0.0,0.0,0.0
Training Dataset 7,0.0,0.0,0.0,0.0
Training Dataset 8,0.0,0.0,0.0,0.0
Training Dataset 9,0.0,0.0,0.0,0.0
